,Latitude,Longitude,ID,Time,Locust,Soil_Moisture,Elevation,Soil_Temperature,Vegetation_Index
97,37.42277778,3.1294444439999998,34575,2020-06-30,1,#ffd700,#28b93f,#d50000,#b9ab9c
98,37.42277778,3.1294444439999998,34583,2020-06-30,1,#ffd700,#28b93f,#d50000,#b9ab9c
99,37.41333333,3.124444444,34609,2020-06-30,1,#ffd700,#22b741,#d50000,#965a47
100,37.41694444,3.1211111110000003,34610,2020-06-30,1,#ffd700,#2bba3e,#d50000,#b9ab9c
101,35.04444444,2.6122222219999998,34611,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#a18064
102,36.90694444,2.245555556,34612,2020-06-30,1,#ffdb00,#c1db0b,#ff6700,#a7cc4b
103,35.04527778,2.610833333,34620,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#9a6e59
104,35.045,2.6091666669999998,34621,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#9a6e59
105,35.0375,2.606666667,34622,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#bfde78
106,35.03777778,2.6069444440000002,34623,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#bfde77
107,37.41666667,3.121388889,34624,2020-06-30,1,#ffd700,#28b93f,#d50000,#b9ab9c
108,36.72166667,2.751666667,34630,2020-06-30,1,#ffde00,#2bba3e,#c80000,#ddc9bd
109,34.7,2.7166666669999997,34642,2020-06-30,1,#bede00,#ccc80a,#ff8500,#086701
110,73.53027778,27.18388889,34643,2020-06-30,1,#ffe700,#0cb249,#b10000,#c0b096
111,73.57777778,27.26027778,34645,2020-06-30,1,#ffd900,#0cb249,#b60000,#d1c0ab
112,35.0375,2.598055556,34654,2020-06-30,1,#fffb00,#c1db0b,#ff6000,#a58469
113,35.04388889,2.601944444,34655,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
114,35.04416667,2.601388889,34656,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
115,35.0425,2.600833333,34657,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
116,35.0425,2.601111111,34658,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
117,69.00722222,27.48027778,34669,2020-06-30,1,#ffd700,#008230,#9f0000,#a7cc4c
118,45.5325,9.534166667000001,34708,2020-06-30,1,#ffec00,#c5d40b,#ff3700,#965a46
119,45.53222222,9.533888889,34709,2020-06-30,1,#ffec00,#c5d40b,#ff3700,#965a46
120,44.07388889,9.503333332999999,34710,2020-06-30,1,#fffa00,#ccc80a,#ff4d00,#b09279
121,45.46694444,9.577222222,34711,2020-06-30,1,#fff900,#c6d20b,#ff5100,#b0cf69
122,45.46638889,9.576111111,34712,2020-06-30,1,#fff900,#c6d20b,#ff5100,#9a6e5a
123,37.42583333,3.141666667,34741,2020-06-30,1,#ffd700,#2bba3e,#d50000,#d1c0ab
124,37.42583333,3.141666667,34742,2020-06-30,1,#ffd700,#2bba3e,#d50000,#d1c0ab
125,37.42583333,3.142777778,34743,2020-06-30,1,#ffd700,#2ebb3d,#d50000,#d1c0ab
126,37.42333333,3.142222222,34744,2020-06-30,1,#ffd700,#28b93f,#d50000,#c8b5a6
127,36.81416667,3.1552777780000003,34745,2020-06-30,1,#ffdb00,#4ec332,#cc0000,#c8b5a5
128,75.63194444,28.19194444,34749,2020-06-30,1,#ffdb00,#18b545,#7f0000,#a58468
129,74.685,28.36722222,34750,2020-06-30,1,#ffe300,#09b14a,#d10000,#b9ab9b
130,71.23222222,27.70611111,34751,2020-06-30,1,#ffd400,#00933b,#7f0000,#e5dbcd
131,36.81388889,3.1552777780000003,34761,2020-06-30,1,#ffdb00,#4ec332,#cc0000,#c8b5a5
132,35.20277778,2.856944444,34762,2020-06-30,1,#fff600,#96d419,#ff1a00,#9a6e5a
133,35.03444444,2.601666667,34763,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#9a6e59
134,36.70833333,2.851388889,34770,2020-06-30,1,#ffe700,#2ebb3d,#c80000,#cdba9f
135,37.42416667,3.122222222,34781,2020-06-30,1,#ffd700,#25b840,#d50000,#c0b096
136,37.42416667,3.122222222,34782,2020-06-30,1,#ffd700,#25b840,#d50000,#c0b096
137,37.42277778,3.1294444439999998,34783,2020-06-30,1,#ffd700,#28b93f,#d50000,#b9ab9c
138,37.42277778,3.1294444439999998,34791,2020-06-30,1,#ffd700,#28b93f,#d50000,#b9ab9c
139,37.41333333,3.124444444,34817,2020-06-30,1,#ffd700,#22b741,#d50000,#965a47
140,37.41694444,3.1211111110000003,34818,2020-06-30,1,#ffd700,#2bba3e,#d50000,#b9ab9c
141,35.04444444,2.6122222219999998,34819,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#a18064
142,36.90694444,2.245555556,34820,2020-06-30,1,#ffdb00,#c1db0b,#ff6700,#a7cc4b
143,35.04527778,2.610833333,34828,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#9a6e59
144,35.045,2.6091666669999998,34829,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#9a6e59
145,35.0375,2.606666667,34830,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#bfde78
146,35.03777778,2.6069444440000002,34831,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#bfde77
147,37.41666667,3.121388889,34832,2020-06-30,1,#ffd700,#28b93f,#d50000,#b9ab9c
148,36.72166667,2.751666667,34838,2020-06-30,1,#ffde00,#2bba3e,#c80000,#ddc9bd
149,34.7,2.7166666669999997,34850,2020-06-30,1,#bede00,#ccc80a,#ff8500,#086701
150,73.53027778,27.18388889,34851,2020-06-30,1,#ffe700,#0cb249,#b10000,#c0b096
151,73.57777778,27.26027778,34853,2020-06-30,1,#ffd900,#0cb249,#b60000,#d1c0ab
152,35.0375,2.598055556,34862,2020-06-30,1,#fffb00,#c1db0b,#ff6000,#a58469
153,35.04388889,2.601944444,34863,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
154,35.04416667,2.601388889,34864,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
155,35.0425,2.600833333,34865,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
156,35.0425,2.601111111,34866,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
157,69.00722222,27.48027778,34877,2020-06-30,1,#ffd700,#008230,#9f0000,#a7cc4c
158,45.5325,9.534166667000001,34916,2020-06-30,1,#ffec00,#c5d40b,#ff3700,#965a46
159,45.53222222,9.533888889,34917,2020-06-30,1,#ffec00,#c5d40b,#ff3700,#965a46
160,44.07388889,9.503333332999999,34918,2020-06-30,1,#fffa00,#ccc80a,#ff4d00,#b09279
161,45.46694444,9.577222222,34919,2020-06-30,1,#fff900,#c6d20b,#ff5100,#b0cf69
162,45.46638889,9.576111111,34920,2020-06-30,1,#fff900,#c6d20b,#ff5100,#9a6e5a
163,37.42583333,3.141666667,35028,2020-06-30,1,#ffd700,#2bba3e,#d50000,#d1c0ab
164,37.42583333,3.141666667,35029,2020-06-30,1,#ffd700,#2bba3e,#d50000,#d1c0ab
165,37.42583333,3.142777778,35030,2020-06-30,1,#ffd700,#2ebb3d,#d50000,#d1c0ab
166,37.42333333,3.142222222,35031,2020-06-30,1,#ffd700,#28b93f,#d50000,#c8b5a6
167,36.81416667,3.1552777780000003,35032,2020-06-30,1,#ffdb00,#4ec332,#cc0000,#c8b5a5
168,75.63194444,28.19194444,35036,2020-06-30,1,#ffdb00,#18b545,#7f0000,#a58468
169,74.685,28.36722222,35037,2020-06-30,1,#ffe300,#09b14a,#d10000,#b9ab9b
170,71.23222222,27.70611111,35038,2020-06-30,1,#ffd400,#00933b,#7f0000,#e5dbcd
171,36.81388889,3.1552777780000003,35048,2020-06-30,1,#ffdb00,#4ec332,#cc0000,#c8b5a5
172,35.20277778,2.856944444,35049,2020-06-30,1,#fff600,#96d419,#ff1a00,#9a6e5a
173,35.03444444,2.601666667,35050,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#9a6e59
174,36.70833333,2.851388889,35057,2020-06-30,1,#ffe700,#2ebb3d,#c80000,#cdba9f
175,37.42416667,3.122222222,35068,2020-06-30,1,#ffd700,#25b840,#d50000,#c0b096
176,37.42416667,3.122222222,35069,2020-06-30,1,#ffd700,#25b840,#d50000,#c0b096
177,37.42277778,3.1294444439999998,35070,2020-06-30,1,#ffd700,#28b93f,#d50000,#b9ab9c
178,37.42277778,3.1294444439999998,35078,2020-06-30,1,#ffd700,#28b93f,#d50000,#b9ab9c
179,37.41333333,3.124444444,35104,2020-06-30,1,#ffd700,#22b741,#d50000,#965a47
180,37.41694444,3.1211111110000003,35105,2020-06-30,1,#ffd700,#2bba3e,#d50000,#b9ab9c
181,35.04444444,2.6122222219999998,35106,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#a18064
182,36.90694444,2.245555556,35107,2020-06-30,1,#ffdb00,#c1db0b,#ff6700,#a7cc4b
183,35.04527778,2.610833333,35115,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#9a6e59
184,35.045,2.6091666669999998,35116,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#9a6e59
185,35.0375,2.606666667,35117,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#bfde78
186,35.03777778,2.6069444440000002,35118,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#bfde77
187,37.41666667,3.121388889,35119,2020-06-30,1,#ffd700,#28b93f,#d50000,#b9ab9c
188,36.72166667,2.751666667,35125,2020-06-30,1,#ffde00,#2bba3e,#c80000,#ddc9bd
189,34.7,2.7166666669999997,35137,2020-06-30,1,#bede00,#ccc80a,#ff8500,#086701
190,73.53027778,27.18388889,35138,2020-06-30,1,#ffe700,#0cb249,#b10000,#c0b096
191,73.57777778,27.26027778,35140,2020-06-30,1,#ffd900,#0cb249,#b60000,#d1c0ab
192,35.0375,2.598055556,35149,2020-06-30,1,#fffb00,#c1db0b,#ff6000,#a58469
193,35.04388889,2.601944444,35150,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
194,35.04416667,2.601388889,35151,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
195,35.0425,2.600833333,35152,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
196,35.0425,2.601111111,35153,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
197,69.00722222,27.48027778,35164,2020-06-30,1,#ffd700,#008230,#9f0000,#a7cc4c
198,45.5325,9.534166667000001,35203,2020-06-30,1,#ffec00,#c5d40b,#ff3700,#965a46
199,45.53222222,9.533888889,35204,2020-06-30,1,#ffec00,#c5d40b,#ff3700,#965a46
200,44.07388889,9.503333332999999,35205,2020-06-30,1,#fffa00,#ccc80a,#ff4d00,#b09279
201,45.46694444,9.577222222,35206,2020-06-30,1,#fff900,#c6d20b,#ff5100,#b0cf69
202,45.46638889,9.576111111,35207,2020-06-30,1,#fff900,#c6d20b,#ff5100,#9a6e5a
203,37.42583333,3.141666667,35330,2020-06-30,1,#ffd700,#2bba3e,#d50000,#d1c0ab
204,37.42583333,3.141666667,35331,2020-06-30,1,#ffd700,#2bba3e,#d50000,#d1c0ab
205,37.42583333,3.142777778,35332,2020-06-30,1,#ffd700,#2ebb3d,#d50000,#d1c0ab
206,37.42333333,3.142222222,35333,2020-06-30,1,#ffd700,#28b93f,#d50000,#c8b5a6
207,36.81416667,3.1552777780000003,35334,2020-06-30,1,#ffdb00,#4ec332,#cc0000,#c8b5a5
208,75.63194444,28.19194444,35338,2020-06-30,1,#ffdb00,#18b545,#7f0000,#a58468
209,74.685,28.36722222,35339,2020-06-30,1,#ffe300,#09b14a,#d10000,#b9ab9b
210,71.23222222,27.70611111,35340,2020-06-30,1,#ffd400,#00933b,#7f0000,#e5dbcd
211,36.81388889,3.1552777780000003,35352,2020-06-30,1,#ffdb00,#4ec332,#cc0000,#c8b5a5
212,35.20277778,2.856944444,35353,2020-06-30,1,#fff600,#96d419,#ff1a00,#9a6e5a
213,35.03444444,2.601666667,35354,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#9a6e59
214,36.70833333,2.851388889,35365,2020-06-30,1,#ffe700,#2ebb3d,#c80000,#cdba9f
215,37.42416667,3.122222222,35381,2020-06-30,1,#ffd700,#25b840,#d50000,#c0b096
216,37.42416667,3.122222222,35382,2020-06-30,1,#ffd700,#25b840,#d50000,#c0b096
217,37.42277778,3.1294444439999998,35383,2020-06-30,1,#ffd700,#28b93f,#d50000,#b9ab9c
218,37.42277778,3.1294444439999998,35391,2020-06-30,1,#ffd700,#28b93f,#d50000,#b9ab9c
219,37.41333333,3.124444444,35404,2020-06-30,1,#ffd700,#22b741,#d50000,#965a47
220,37.41694444,3.1211111110000003,35405,2020-06-30,1,#ffd700,#2bba3e,#d50000,#b9ab9c
221,35.04444444,2.6122222219999998,35406,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#a18064
222,36.90694444,2.245555556,35407,2020-06-30,1,#ffdb00,#c1db0b,#ff6700,#a7cc4b
223,35.04527778,2.610833333,35412,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#9a6e59
224,35.045,2.6091666669999998,35413,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#9a6e59
225,35.0375,2.606666667,35414,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#bfde78
226,35.03777778,2.6069444440000002,35415,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#bfde77
227,37.41666667,3.121388889,35416,2020-06-30,1,#ffd700,#28b93f,#d50000,#b9ab9c
228,36.72166667,2.751666667,35427,2020-06-30,1,#ffde00,#2bba3e,#c80000,#ddc9bd
229,34.7,2.7166666669999997,35440,2020-06-30,1,#bede00,#ccc80a,#ff8500,#086701
230,73.53027778,27.18388889,35441,2020-06-30,1,#ffe700,#0cb249,#b10000,#c0b096
231,73.57777778,27.26027778,35443,2020-06-30,1,#ffd900,#0cb249,#b60000,#d1c0ab
232,35.0375,2.598055556,35454,2020-06-30,1,#fffb00,#c1db0b,#ff6000,#a58469
233,35.04388889,2.601944444,35455,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
234,35.04416667,2.601388889,35456,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
235,35.0425,2.600833333,35457,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
236,35.0425,2.601111111,35458,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
237,69.00722222,27.48027778,35465,2020-06-30,1,#ffd700,#008230,#9f0000,#a7cc4c
238,45.5325,9.534166667000001,35514,2020-06-30,1,#ffec00,#c5d40b,#ff3700,#965a46
239,45.53222222,9.533888889,35515,2020-06-30,1,#ffec00,#c5d40b,#ff3700,#965a46
240,44.07388889,9.503333332999999,35516,2020-06-30,1,#fffa00,#ccc80a,#ff4d00,#b09279
241,45.46694444,9.577222222,35517,2020-06-30,1,#fff900,#c6d20b,#ff5100,#b0cf69
242,45.46638889,9.576111111,35518,2020-06-30,1,#fff900,#c6d20b,#ff5100,#9a6e5a
