Latitude,Longitude,ID,Time,Locust,Soil_Moisture,Elevation,Soil_Temperature,Vegetation_Index
37.42416667,3.122222222,34781,2020-06-30,1,-1,-1,-1,-1
37.42416667,3.122222222,34782,2020-06-30,1,-1,-1,-1,-1
37.42277778,3.129444444,34783,2020-06-30,1,-1,-1,-1,-1
37.42277778,3.129444444,34791,2020-06-30,1,-1,-1,-1,-1
37.41333333,3.124444444,34817,2020-06-30,1,-1,-1,-1,-1
37.41694444,3.121111111,34818,2020-06-30,1,-1,-1,-1,-1
35.04444444,2.612222222,34819,2020-06-30,1,-1,-1,-1,-1
36.90694444,2.245555556,34820,2020-06-30,1,-1,-1,-1,-1
35.04527778,2.610833333,34828,2020-06-30,1,-1,-1,-1,-1
35.045,2.609166667,34829,2020-06-30,1,-1,-1,-1,-1
35.0375,2.606666667,34830,2020-06-30,1,-1,-1,-1,-1
35.03777778,2.606944444,34831,2020-06-30,1,-1,-1,-1,-1
37.41666667,3.121388889,34832,2020-06-30,1,-1,-1,-1,-1
36.72166667,2.751666667,34838,2020-06-30,1,-1,-1,-1,-1
34.7,2.716666667,34850,2020-06-30,1,-1,-1,-1,-1
73.53027778,27.18388889,34851,2020-06-30,1,-1,-1,-1,-1
73.57777778,27.26027778,34853,2020-06-30,1,-1,-1,-1,-1
35.0375,2.598055556,34862,2020-06-30,1,-1,-1,-1,-1
35.04388889,2.601944444,34863,2020-06-30,1,-1,-1,-1,-1
35.04416667,2.601388889,34864,2020-06-30,1,-1,-1,-1,-1
35.0425,2.600833333,34865,2020-06-30,1,-1,-1,-1,-1
35.0425,2.601111111,34866,2020-06-30,1,-1,-1,-1,-1
69.00722222,27.48027778,34877,2020-06-30,1,-1,-1,-1,-1
45.5325,9.534166667,34916,2020-06-30,1,-1,-1,-1,-1
45.53222222,9.533888889,34917,2020-06-30,1,-1,-1,-1,-1
44.07388889,9.503333333,34918,2020-06-30,1,-1,-1,-1,-1
45.46694444,9.577222222,34919,2020-06-30,1,-1,-1,-1,-1
45.46638889,9.576111111,34920,2020-06-30,1,-1,-1,-1,-1
37.42583333,3.141666667,35028,2020-06-30,1,-1,-1,-1,-1
37.42583333,3.141666667,35029,2020-06-30,1,-1,-1,-1,-1
37.42583333,3.142777778,35030,2020-06-30,1,-1,-1,-1,-1
37.42333333,3.142222222,35031,2020-06-30,1,-1,-1,-1,-1
36.81416667,3.155277778,35032,2020-06-30,1,-1,-1,-1,-1
75.63194444,28.19194444,35036,2020-06-30,1,-1,-1,-1,-1
74.685,28.36722222,35037,2020-06-30,1,-1,-1,-1,-1
71.23222222,27.70611111,35038,2020-06-30,1,-1,-1,-1,-1
36.81388889,3.155277778,35048,2020-06-30,1,-1,-1,-1,-1
35.20277778,2.856944444,35049,2020-06-30,1,-1,-1,-1,-1
35.03444444,2.601666667,35050,2020-06-30,1,-1,-1,-1,-1
36.70833333,2.851388889,35057,2020-06-30,1,-1,-1,-1,-1
37.42416667,3.122222222,35068,2020-06-30,1,-1,-1,-1,-1
37.42416667,3.122222222,35069,2020-06-30,1,-1,-1,-1,-1
37.42277778,3.129444444,35070,2020-06-30,1,-1,-1,-1,-1
37.42277778,3.129444444,35078,2020-06-30,1,-1,-1,-1,-1
37.41333333,3.124444444,35104,2020-06-30,1,-1,-1,-1,-1
37.41694444,3.121111111,35105,2020-06-30,1,-1,-1,-1,-1
35.04444444,2.612222222,35106,2020-06-30,1,-1,-1,-1,-1
36.90694444,2.245555556,35107,2020-06-30,1,-1,-1,-1,-1
35.04527778,2.610833333,35115,2020-06-30,1,-1,-1,-1,-1
35.045,2.609166667,35116,2020-06-30,1,-1,-1,-1,-1
35.0375,2.606666667,35117,2020-06-30,1,-1,-1,-1,-1
35.03777778,2.606944444,35118,2020-06-30,1,-1,-1,-1,-1
37.41666667,3.121388889,35119,2020-06-30,1,-1,-1,-1,-1
36.72166667,2.751666667,35125,2020-06-30,1,-1,-1,-1,-1
34.7,2.716666667,35137,2020-06-30,1,-1,-1,-1,-1
73.53027778,27.18388889,35138,2020-06-30,1,-1,-1,-1,-1
73.57777778,27.26027778,35140,2020-06-30,1,-1,-1,-1,-1
