Latitude ,Longitude ,ID,Time,Locust,Soil_Moisture,Wind,Vegetation_Index,Humidity_D,Humidity_N,Elevation,Temperature_D,Temperature_N
37.8675,18.29527778,22338,2019-02-06,1,-1,-1,-1,-1,-1,-1,-1,-1
57.33222222,26.7725,22339,2019-02-22,1,-1,-1,-1,-1,-1,-1,-1,-1
57.33694444,26.77361111,22340,2019-02-23,1,-1,-1,-1,-1,-1,-1,-1,-1
57.33333333,26.77361111,22341,2019-02-23,1,-1,-1,-1,-1,-1,-1,-1,-1
57.33583333,26.77027778,22342,2019-02-23,1,-1,-1,-1,-1,-1,-1,-1,-1
37.24611111,25.48666667,22343,2019-02-27,1,-1,-1,-1,-1,-1,-1,-1,-1
37.32638889,24.82333333,22344,2019-02-21,1,-1,-1,-1,-1,-1,-1,-1,-1
37.32611111,24.82333333,22345,2019-02-21,1,-1,-1,-1,-1,-1,-1,-1,-1
37.32611111,24.82333333,22346,2019-02-21,1,-1,-1,-1,-1,-1,-1,-1,-1
37.18611111,25.48833333,22347,2019-02-27,1,-1,-1,-1,-1,-1,-1,-1,-1
38.99194444,22.93583333,22348,2019-02-27,1,-1,-1,-1,-1,-1,-1,-1,-1
37.33055556,24.80777778,22349,2019-02-23,1,-1,-1,-1,-1,-1,-1,-1,-1
37.34305556,24.81444444,22350,2019-02-23,1,-1,-1,-1,-1,-1,-1,-1,-1
36.60361111,22.07333333,22351,2019-02-10,1,-1,-1,-1,-1,-1,-1,-1,-1
37.34972222,24.79305556,22352,2019-02-21,1,-1,-1,-1,-1,-1,-1,-1,-1
37.43222222,25.09166667,22353,2019-02-26,1,-1,-1,-1,-1,-1,-1,-1,-1
37.35111111,24.80527778,22354,2019-02-21,1,-1,-1,-1,-1,-1,-1,-1,-1
37.34972222,24.79305556,22355,2019-02-21,1,-1,-1,-1,-1,-1,-1,-1,-1
37.43972222,25.08083333,22356,2019-02-24,1,-1,-1,-1,-1,-1,-1,-1,-1
37.31666667,24.85805556,22357,2019-02-24,1,-1,-1,-1,-1,-1,-1,-1,-1
37.3225,24.85222222,22358,2019-02-24,1,-1,-1,-1,-1,-1,-1,-1,-1
37.36472222,25.01611111,22359,2019-02-27,1,-1,-1,-1,-1,-1,-1,-1,-1
37.37444444,25.00833333,22360,2019-02-27,1,-1,-1,-1,-1,-1,-1,-1,-1
37.40638889,24.96055556,22361,2019-02-27,1,-1,-1,-1,-1,-1,-1,-1,-1
37.42138889,25.09972222,22362,2019-02-26,1,-1,-1,-1,-1,-1,-1,-1,-1
37.4175,25.10388889,22363,2019-02-26,1,-1,-1,-1,-1,-1,-1,-1,-1
37.42888889,25.09638889,22364,2019-02-26,1,-1,-1,-1,-1,-1,-1,-1,-1
37.26,24.89861111,22365,2019-02-23,1,-1,-1,-1,-1,-1,-1,-1,-1
37.2975,24.89305556,22366,2019-02-23,1,-1,-1,-1,-1,-1,-1,-1,-1
37.32111111,24.85388889,22367,2019-02-24,1,-1,-1,-1,-1,-1,-1,-1,-1
37.36611111,24.77583333,22368,2019-02-28,1,-1,-1,-1,-1,-1,-1,-1,-1
